,PktGroupId,PktNumber,Appearance,Direction,Type,Component,Edge,Filter,OriginalSize,LoggedSize
369,1125899906842632,1,10,Tx,WiFi,3,1,0,60,60
370,1970324836974594,1,1,Rx,WiFi,3,1,0,80,80
371,1970324836974594,1,2,Rx,WiFi,31,2,0,80,80
372,1970324836974594,1,3,Rx,WiFi,31,1,0,80,80
373,1970324836974594,1,4,Rx,WiFi,30,2,0,80,80
374,1970324836974594,1,5,Rx,WiFi,30,1,0,80,80
375,1970324836974594,1,6,Rx,WiFi,29,2,0,80,80
376,1970324836974594,1,7,Rx,Ethernet,29,1,0,60,60
377,1970324836974594,1,8,Rx,WiFi,28,2,0,60,60
378,1970324836974594,1,9,Rx,Ethernet,28,1,0,60,60
379,1970324836974594,1,10,Rx,Ethernet,77,1,0,60,60
380,1970324836974594,1,11,Rx,Ethernet,78,1,0,60,60
381,1970324836974594,1,12,Rx,Ethernet,81,1,0,60,60
382,1125899906842633,1,1,Tx,Ethernet,81,1,0,97,97
383,1125899906842633,1,2,Tx,Ethernet,28,1,0,97,97
384,1125899906842633,1,3,Tx,WiFi,28,2,0,97,97
385,1125899906842633,1,4,Tx,Ethernet,29,1,0,97,97
386,1125899906842633,1,5,Tx,WiFi,29,2,0,115,115
387,1125899906842633,1,6,Tx,WiFi,30,1,0,115,115
388,1125899906842633,1,7,Tx,WiFi,30,2,0,115,115
389,1125899906842633,1,8,Tx,WiFi,31,1,0,115,115
390,1125899906842633,1,9,Tx,WiFi,31,2,0,115,115
391,1125899906842633,1,10,Tx,WiFi,3,1,0,115,115
392,1125899906842634,1,1,Rx,WiFi,3,1,0,74,74
393,1125899906842634,1,2,Rx,WiFi,31,2,0,74,74
394,1125899906842634,1,3,Rx,WiFi,31,1,0,74,74
395,1125899906842634,1,4,Rx,WiFi,30,2,0,74,74
396,1125899906842634,1,5,Rx,WiFi,30,1,0,74,74
397,1125899906842634,1,6,Rx,WiFi,29,2,0,74,74
398,1125899906842634,1,7,Rx,Ethernet,29,1,0,54,54
399,1125899906842634,1,8,Rx,WiFi,28,2,0,54,54
400,1125899906842634,1,9,Rx,Ethernet,28,1,0,54,54
401,1125899906842634,1,10,Rx,Ethernet,77,1,0,54,54
402,1125899906842634,1,11,Rx,Ethernet,78,1,0,54,54
403,1125899906842634,1,12,Rx,Ethernet,81,1,0,54,54
404,1125899906842635,1,1,Rx,WiFi,3,1,0,114,114
405,1125899906842635,1,2,Rx,WiFi,31,2,0,114,114
406,1125899906842635,1,3,Rx,WiFi,31,1,0,114,114
407,1125899906842635,1,4,Rx,WiFi,30,2,0,114,114
408,1125899906842635,1,5,Rx,WiFi,30,1,0,114,114
409,1125899906842635,1,6,Rx,WiFi,29,2,0,114,114
410,1125899906842635,1,7,Rx,Ethernet,29,1,0,94,94
411,1125899906842635,1,8,Rx,WiFi,28,2,0,94,94
412,1125899906842635,1,9,Rx,Ethernet,28,1,0,94,94
413,1125899906842635,1,10,Rx,Ethernet,77,1,0,94,94
414,1125899906842635,1,11,Rx,Ethernet,78,1,0,94,94
415,1125899906842635,1,12,Rx,Ethernet,81,1,0,94,94
416,562949953421324,1,1,Tx,Ethernet,81,1,0,54,54
417,562949953421324,1,2,Tx,Ethernet,28,1,0,54,54
418,562949953421324,1,3,Tx,WiFi,28,2,0,54,54
419,562949953421324,1,4,Tx,Ethernet,29,1,0,54,54
420,562949953421324,1,5,Tx,WiFi,29,2,0,72,72
421,562949953421324,1,6,Tx,WiFi,30,1,0,72,72
422,562949953421324,1,7,Tx,WiFi,30,2,0,72,72
423,562949953421324,1,8,Tx,WiFi,31,1,0,72,72
424,562949953421324,1,9,Tx,WiFi,31,2,0,72,72
425,562949953421324,1,10,Tx,WiFi,3,1,0,72,72
426,562949953421325,1,1,Rx,WiFi,3,1,0,107,107
427,562949953421325,1,2,Rx,WiFi,31,2,0,107,107
428,562949953421325,1,3,Rx,WiFi,31,1,0,107,107
429,562949953421325,1,4,Rx,WiFi,30,2,0,107,107
